judge_model,experiment_type,group_type,group_value,n_runs,prec_req_strict,prec_req_broad,prec_req_strict_macro,prec_req_broad_macro,prec_item_strict,prec_item_broad,excl_rate_strict,excl_rate_broad
gpt-5.4,microservices,OVERALL,OVERALL,176,0.9265734265734266,0.820580474934037,0.9287280701754386,0.8397817460317463,0.923943661971831,0.8253119429590018,0.6613055818353831,0.4645222327341533
gpt-5.4,microservices,detector_model,DeepSeek-V3-0324,44,0.8970588235294118,0.8387096774193549,0.9027777777777778,0.8560606060606059,0.9041095890410958,0.8303571428571429,0.6185567010309279,0.4175257731958763
gpt-5.4,microservices,detector_model,claude-sonnet-4-6,44,0.971830985915493,0.851063829787234,0.9736842105263158,0.8577235772357725,0.968421052631579,0.8716216216216216,0.6049382716049383,0.3868312757201646
gpt-5.4,microservices,detector_model,gpt-4.1-mini,44,0.8852459016393442,0.7647058823529411,0.8963963963963963,0.7916666666666667,0.8611111111111112,0.7355371900826446,0.7876106194690266,0.640117994100295
gpt-5.4,microservices,detector_model,gpt-5.4,44,0.9418604651162791,0.822429906542056,0.9390243902439024,0.8507751937984497,0.9391304347826087,0.8444444444444444,0.5871886120996441,0.35231316725978645
gpt-5.4,microservices,method,oneshot-tracker,44,0.92,0.8404255319148937,0.925,0.8571428571428571,0.9166666666666666,0.8421052631578947,0.6397058823529411,0.5036764705882353
gpt-5.4,microservices,method,oneshot-warehouse,44,0.9178082191780822,0.8191489361702128,0.9273504273504273,0.8412698412698413,0.9069767441860465,0.8263888888888888,0.6653696498054474,0.4396887159533074
gpt-5.4,microservices,method,twoshot,44,0.9384615384615385,0.8152173913043478,0.9444444444444444,0.8414634146341463,0.9390243902439024,0.8345323741007195,0.6870229007633588,0.46564885496183206
gpt-5.4,microservices,method,zeroshot,44,0.9315068493150684,0.8080808080808081,0.918918918918919,0.8197674418604651,0.9340659340659341,0.8,0.6541353383458647,0.4473684210526316
gpt-5.4,restestbench,OVERALL,OVERALL,80,0.90625,0.8448753462603878,0.8995173745173746,0.8722718253968254,0.9174917491749175,0.8547368421052631,0.6268472906403941,0.41502463054187194
gpt-5.4,restestbench,detector_model,DeepSeek-V3-0324,20,0.8285714285714286,0.868421052631579,0.8186274509803921,0.8922619047619047,0.8378378378378378,0.8764044943820225,0.7730061349693251,0.4539877300613497
gpt-5.4,restestbench,detector_model,claude-sonnet-4-6,20,1.0,0.975609756097561,1.0,0.975,1.0,0.972972972972973,0.3203125,0.1328125
gpt-5.4,restestbench,detector_model,gpt-4.1-mini,20,0.7848101265822784,0.6785714285714286,0.7661375661375662,0.6708333333333334,0.8043478260869565,0.6870748299319728,0.7486338797814208,0.5983606557377049
gpt-5.4,restestbench,detector_model,gpt-5.4,20,0.9857142857142858,0.9120879120879121,0.9924812030075189,0.9509920634920637,0.9885057471264368,0.9296875,0.43870967741935485,0.17419354838709677
gpt-5.4,restestbench,method,oneshot-tracker,20,0.9253731343283582,0.8387096774193549,0.8941666666666668,0.857202380952381,0.9305555555555556,0.8448275862068966,0.6381909547738693,0.41708542713567837
gpt-5.4,restestbench,method,oneshot-warehouse,20,0.8852459016393442,0.8333333333333334,0.8960784313725491,0.8659126984126985,0.9014084507042254,0.8225806451612904,0.6485148514851485,0.38613861386138615
gpt-5.4,restestbench,method,twoshot,20,0.9056603773584906,0.8539325842696629,0.9254901960784314,0.8931547619047618,0.90625,0.8632478632478633,0.6893203883495146,0.4320388349514563
gpt-5.4,restestbench,method,zeroshot,20,0.9066666666666666,0.8539325842696629,0.8857142857142859,0.8728174603174604,0.9270833333333334,0.8898305084745762,0.5317073170731708,0.424390243902439
claude-sonnet-4-6,microservices,OVERALL,OVERALL,176,0.9330985915492958,0.8086734693877551,0.9400406504065042,0.8239644970414205,0.9426934097421203,0.8167808219178082,0.6694915254237288,0.4453860640301318
claude-sonnet-4-6,microservices,detector_model,DeepSeek-V3-0324,44,0.9285714285714286,0.8181818181818182,0.9404761904761905,0.8276515151515151,0.9315068493150684,0.8083333333333333,0.6205128205128205,0.37948717948717947
claude-sonnet-4-6,microservices,detector_model,claude-sonnet-4-6,44,0.9714285714285714,0.8333333333333334,0.9791666666666667,0.8414634146341463,0.978494623655914,0.8609271523178808,0.6172839506172839,0.37448559670781895
claude-sonnet-4-6,microservices,detector_model,gpt-4.1-mini,44,0.8709677419354839,0.7415730337078652,0.8846153846153846,0.7662601626016261,0.881578947368421,0.7222222222222222,0.7777777777777778,0.6286549707602339
claude-sonnet-4-6,microservices,detector_model,gpt-5.4,44,0.9512195121951219,0.8333333333333334,0.9534883720930233,0.8585271317829458,0.9626168224299065,0.8502673796791443,0.6170212765957447,0.32978723404255317
claude-sonnet-4-6,microservices,method,oneshot-tracker,44,0.9444444444444444,0.8229166666666666,0.9523809523809523,0.8333333333333334,0.9555555555555556,0.8382352941176471,0.6654411764705882,0.49264705882352944
claude-sonnet-4-6,microservices,method,oneshot-warehouse,44,0.9166666666666666,0.8,0.9308943089430896,0.8154761904761905,0.9186046511627907,0.8,0.6666666666666666,0.4186046511627907
claude-sonnet-4-6,microservices,method,twoshot,44,0.9242424242424242,0.8172043010752689,0.9375,0.8373983739837398,0.9404761904761905,0.8333333333333334,0.6818181818181818,0.45075757575757575
claude-sonnet-4-6,microservices,method,zeroshot,44,0.9459459459459459,0.7961165048543689,0.9390243902439024,0.8106060606060607,0.9550561797752809,0.7987012987012987,0.664179104477612,0.417910447761194
claude-sonnet-4-6,restestbench,OVERALL,OVERALL,80,0.9521531100478469,0.8624641833810889,0.9507034632034631,0.8896527777777777,0.9586776859504132,0.8774617067833698,0.6971214017521903,0.42803504380475593
claude-sonnet-4-6,restestbench,detector_model,DeepSeek-V3-0324,20,0.8181818181818182,0.8513513513513513,0.8214285714285715,0.8880952380952379,0.8260869565217391,0.8690476190476191,0.8544303797468354,0.46835443037974683
claude-sonnet-4-6,restestbench,detector_model,claude-sonnet-4-6,20,1.0,0.975609756097561,1.0,0.975,1.0,0.981651376146789,0.3779527559055118,0.14173228346456693
claude-sonnet-4-6,restestbench,detector_model,gpt-4.1-mini,20,0.9444444444444444,0.7352941176470589,0.942577030812325,0.7445238095238096,0.9516129032258065,0.7518248175182481,0.8277777777777777,0.6194444444444445
claude-sonnet-4-6,restestbench,detector_model,gpt-5.4,20,0.9523809523809523,0.9120879120879121,0.9741228070175438,0.9509920634920637,0.9615384615384616,0.9291338582677166,0.4935064935064935,0.17532467532467533
claude-sonnet-4-6,restestbench,method,oneshot-tracker,20,1.0,0.8404255319148937,1.0,0.8583928571428572,1.0,0.8632478632478633,0.7412935323383084,0.417910447761194
claude-sonnet-4-6,restestbench,method,oneshot-warehouse,20,0.9375,0.8690476190476191,0.9392156862745098,0.8884126984126987,0.9454545454545454,0.8807339449541285,0.7135416666666666,0.4322916666666667
claude-sonnet-4-6,restestbench,method,twoshot,20,0.9636363636363636,0.8953488372093024,0.9583333333333334,0.9264880952380953,0.96875,0.8859649122807017,0.6862745098039216,0.4411764705882353
claude-sonnet-4-6,restestbench,method,zeroshot,20,0.9137931034482759,0.8470588235294118,0.9086134453781513,0.8853174603174605,0.9295774647887324,0.8803418803418803,0.6485148514851485,0.4207920792079208
