judge_model,experiment_type,app,variant,detector_model,method,n_omission_items,n_delta,n_true_gaps,n_invalid,found_delta_strict,found_gaps_strict,precision_dedup_strict,recall_dedup_strict,found_delta_broad,found_gaps_broad,precision_dedup_broad,recall_dedup_broad
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-tracker,11,7,6,0,4,3,0.75,0.5,7,6,0.8571428571428571,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-warehouse,12,7,6,0,0,0,,0.0,6,5,0.8333333333333334,0.8333333333333334
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,twoshot,10,7,6,0,1,1,1.0,0.16666666666666666,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,zeroshot,9,7,6,0,1,1,1.0,0.16666666666666666,5,5,1.0,0.8333333333333334
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-tracker,7,7,6,0,6,6,1.0,1.0,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-warehouse,11,7,6,0,5,5,1.0,0.8333333333333334,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,twoshot,10,7,6,0,3,3,1.0,0.5,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,zeroshot,14,7,6,0,6,6,1.0,1.0,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-tracker,20,7,6,0,5,5,1.0,0.8333333333333334,6,5,0.8333333333333334,0.8333333333333334
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-warehouse,30,7,6,0,0,0,,0.0,4,3,0.75,0.5
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,twoshot,26,7,6,0,0,0,,0.0,7,6,0.8571428571428571,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,zeroshot,23,7,6,0,6,6,1.0,1.0,7,6,0.8571428571428571,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-tracker,11,7,6,0,1,1,1.0,0.16666666666666666,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-warehouse,11,7,6,0,5,5,1.0,0.8333333333333334,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,twoshot,10,7,6,0,0,0,,0.0,7,6,0.8571428571428571,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,zeroshot,12,7,6,0,7,6,0.8571428571428571,1.0,7,6,0.8571428571428571,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-tracker,10,6,2,0,1,0,0.0,0.0,4,2,0.5,1.0
