judge_model,experiment_type,app,variant,detector_model,method,n_omissions,tp_strict,fp_tracked_strict,excluded_strict,unknown_strict,precision_tracked_strict,exclusion_rate_strict,tp_broad,fp_tracked_broad,excluded_broad,unknown_broad,precision_tracked_broad,exclusion_rate_broad
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-tracker,11,3,1,7,0,0.75,0.6363636363636364,8,1,2,0,0.8888888888888888,0.18181818181818182
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-warehouse,12,0,0,12,0,,1.0,8,2,2,0,0.8,0.16666666666666666
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,twoshot,10,1,0,9,0,1.0,0.9,7,0,3,0,1.0,0.3
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,zeroshot,9,1,0,8,0,1.0,0.8888888888888888,6,0,3,0,1.0,0.3333333333333333
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-tracker,7,7,0,0,0,1.0,0.0,7,0,0,0,1.0,0.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-warehouse,11,5,0,6,0,1.0,0.5454545454545454,11,0,0,0,1.0,0.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,twoshot,10,3,0,7,0,1.0,0.7,10,0,0,0,1.0,0.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,zeroshot,14,12,0,2,0,1.0,0.14285714285714285,12,0,2,0,1.0,0.14285714285714285
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-tracker,20,5,0,15,0,1.0,0.75,6,3,11,0,0.6666666666666666,0.55
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-warehouse,30,0,0,30,0,,1.0,3,4,23,0,0.42857142857142855,0.7666666666666667
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,twoshot,26,0,0,26,0,,1.0,8,1,17,0,0.8888888888888888,0.6538461538461539
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,zeroshot,23,8,0,15,0,1.0,0.6521739130434783,9,1,13,0,0.9,0.5652173913043478
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-tracker,11,1,0,10,0,1.0,0.9090909090909091,10,0,1,0,1.0,0.09090909090909091
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-warehouse,11,6,0,5,0,1.0,0.45454545454545453,11,0,0,0,1.0,0.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,twoshot,10,0,0,10,0,,1.0,9,1,0,0,0.9,0.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,zeroshot,12,8,1,3,0,0.8888888888888888,0.25,10,1,1,0,0.9090909090909091,0.08333333333333333
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-tracker,10,0,1,9,0,0.0,0.9,3,2,5,0,0.6,0.5
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-warehouse,6,0,0,6,0,,1.0,1,0,5,0,1.0,0.8333333333333334
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,twoshot,5,0,0,5,0,,1.0,1,0,4,0,1.0,0.8
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,zeroshot,30,0,1,29,0,0.0,0.9666666666666667,1,2,27,0,0.3333333333333333,0.9
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-tracker,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-warehouse,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,twoshot,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,zeroshot,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-tracker,21,2,1,18,0,0.6666666666666666,0.8571428571428571,2,3,16,0,0.4,0.7619047619047619
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-warehouse,25,3,2,20,0,0.6,0.8,4,4,17,0,0.5,0.68
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,twoshot,35,2,3,30,0,0.4,0.8571428571428571,4,5,26,0,0.4444444444444444,0.7428571428571429
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,zeroshot,17,4,1,12,0,0.8,0.7058823529411765,4,1,12,0,0.8,0.7058823529411765
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-tracker,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-warehouse,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,twoshot,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,zeroshot,4,2,0,2,0,1.0,0.5,2,0,2,0,1.0,0.5
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-tracker,7,3,0,4,0,1.0,0.5714285714285714,4,1,2,0,0.8,0.2857142857142857
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-warehouse,5,4,0,1,0,1.0,0.2,4,0,1,0,1.0,0.2
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,twoshot,5,1,0,4,0,1.0,0.8,2,0,3,0,1.0,0.6
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,zeroshot,4,1,0,3,0,1.0,0.75,3,0,1,0,1.0,0.25
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-tracker,8,1,0,7,0,1.0,0.875,4,0,4,0,1.0,0.5
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-warehouse,8,4,0,4,0,1.0,0.5,4,2,2,0,0.6666666666666666,0.25
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,twoshot,7,4,0,3,0,1.0,0.42857142857142855,4,1,2,0,0.8,0.2857142857142857
