judge_model,experiment_type,group_type,group_value,n_runs,recall_strict_micro,recall_strict_macro,recall_broad_micro,recall_broad_macro
gpt-5.4,microservices,OVERALL,OVERALL,176,0.720108695652174,0.7149621212121213,0.845108695652174,0.8503787878787875
gpt-5.4,microservices,detector_model,DeepSeek-V3-0324,44,0.6630434782608695,0.6685606060606061,0.8478260869565217,0.8731060606060604
gpt-5.4,microservices,detector_model,claude-sonnet-4-6,44,0.75,0.7329545454545456,0.8695652173913043,0.8579545454545453
gpt-5.4,microservices,detector_model,gpt-4.1-mini,44,0.5869565217391305,0.5833333333333333,0.7065217391304348,0.7159090909090909
gpt-5.4,microservices,detector_model,gpt-5.4,44,0.8804347826086957,0.875,0.9565217391304348,0.9545454545454546
gpt-5.4,microservices,method,oneshot-tracker,44,0.75,0.7518939393939396,0.8586956521739131,0.8655303030303029
gpt-5.4,microservices,method,oneshot-warehouse,44,0.7282608695652174,0.7367424242424243,0.8369565217391305,0.8503787878787878
gpt-5.4,microservices,method,twoshot,44,0.6630434782608695,0.662878787878788,0.8152173913043478,0.8143939393939393
gpt-5.4,microservices,method,zeroshot,44,0.7391304347826086,0.7083333333333334,0.8695652173913043,0.8712121212121211
gpt-5.4,restestbench,OVERALL,OVERALL,80,0.6904761904761905,0.7223214285714283,0.9077380952380952,0.9147321428571427
gpt-5.4,restestbench,detector_model,DeepSeek-V3-0324,20,0.34523809523809523,0.37559523809523804,0.7857142857142857,0.7833333333333333
gpt-5.4,restestbench,detector_model,claude-sonnet-4-6,20,0.8571428571428571,0.8595238095238095,0.9523809523809523,0.95
gpt-5.4,restestbench,detector_model,gpt-4.1-mini,20,0.7380952380952381,0.7988095238095239,0.9047619047619048,0.9380952380952383
gpt-5.4,restestbench,detector_model,gpt-5.4,20,0.8214285714285714,0.8553571428571429,0.9880952380952381,0.9875
gpt-5.4,restestbench,method,oneshot-tracker,20,0.7380952380952381,0.7696428571428571,0.9285714285714286,0.9452380952380952
gpt-5.4,restestbench,method,oneshot-warehouse,20,0.6428571428571429,0.6815476190476191,0.8928571428571429,0.9023809523809525
gpt-5.4,restestbench,method,twoshot,20,0.5714285714285714,0.6333333333333333,0.9047619047619048,0.9035714285714285
gpt-5.4,restestbench,method,zeroshot,20,0.8095238095238095,0.8047619047619048,0.9047619047619048,0.9077380952380952
claude-sonnet-4-6,microservices,OVERALL,OVERALL,176,0.720108695652174,0.7357954545454547,0.8614130434782609,0.8660037878787875
claude-sonnet-4-6,microservices,detector_model,DeepSeek-V3-0324,44,0.7065217391304348,0.7329545454545454,0.8804347826086957,0.8977272727272726
claude-sonnet-4-6,microservices,detector_model,claude-sonnet-4-6,44,0.7391304347826086,0.7405303030303032,0.8695652173913043,0.861742424242424
claude-sonnet-4-6,microservices,detector_model,gpt-4.1-mini,44,0.5869565217391305,0.606060606060606,0.717391304347826,0.7386363636363636
claude-sonnet-4-6,microservices,detector_model,gpt-5.4,44,0.8478260869565217,0.8636363636363634,0.9782608695652174,0.9659090909090909
claude-sonnet-4-6,microservices,method,oneshot-tracker,44,0.7391304347826086,0.7632575757575758,0.8586956521739131,0.8636363636363636
claude-sonnet-4-6,microservices,method,oneshot-warehouse,44,0.717391304347826,0.75,0.8695652173913043,0.8768939393939393
claude-sonnet-4-6,microservices,method,twoshot,44,0.6630434782608695,0.6818181818181818,0.8260869565217391,0.8238636363636362
claude-sonnet-4-6,microservices,method,zeroshot,44,0.7608695652173914,0.7481060606060607,0.8913043478260869,0.899621212121212
claude-sonnet-4-6,restestbench,OVERALL,OVERALL,80,0.5922619047619048,0.6072916666666667,0.8958333333333334,0.907440476190476
claude-sonnet-4-6,restestbench,detector_model,DeepSeek-V3-0324,20,0.21428571428571427,0.21428571428571427,0.75,0.7625
claude-sonnet-4-6,restestbench,detector_model,claude-sonnet-4-6,20,0.8333333333333334,0.8511904761904763,0.9523809523809523,0.95
claude-sonnet-4-6,restestbench,detector_model,gpt-4.1-mini,20,0.6071428571428571,0.6642857142857144,0.8928571428571429,0.9297619047619049
claude-sonnet-4-6,restestbench,detector_model,gpt-5.4,20,0.7142857142857143,0.699404761904762,0.9880952380952381,0.9875
claude-sonnet-4-6,restestbench,method,oneshot-tracker,20,0.5714285714285714,0.5791666666666666,0.9404761904761905,0.9535714285714285
claude-sonnet-4-6,restestbench,method,oneshot-warehouse,20,0.5357142857142857,0.5892857142857142,0.8690476190476191,0.8857142857142858
claude-sonnet-4-6,restestbench,method,twoshot,20,0.6309523809523809,0.6363095238095238,0.9166666666666666,0.9160714285714284
claude-sonnet-4-6,restestbench,method,zeroshot,20,0.6309523809523809,0.6244047619047619,0.8571428571428571,0.874404761904762
