judge_model,experiment_type,app,variant,detector_model,method,n_omissions,n_true_gaps,found_strict,found_broad,recall_strict,recall_broad
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-tracker,11,6,3,6,0.5,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-warehouse,12,6,0,5,0.0,0.8333333333333334
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,twoshot,10,6,1,6,0.16666666666666666,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,zeroshot,9,6,1,5,0.16666666666666666,0.8333333333333334
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-tracker,7,6,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-warehouse,11,6,5,6,0.8333333333333334,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,twoshot,10,6,3,6,0.5,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,zeroshot,14,6,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-tracker,20,6,5,5,0.8333333333333334,0.8333333333333334
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-warehouse,30,6,0,3,0.0,0.5
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,twoshot,26,6,0,6,0.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,zeroshot,23,6,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-tracker,11,6,1,6,0.16666666666666666,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-warehouse,11,6,5,6,0.8333333333333334,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,twoshot,10,6,0,6,0.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,zeroshot,12,6,6,6,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-tracker,10,2,0,2,0.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-warehouse,6,2,0,1,0.0,0.5
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,twoshot,5,2,0,1,0.0,0.5
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,zeroshot,30,2,0,1,0.0,0.5
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-tracker,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-warehouse,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,twoshot,2,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,zeroshot,2,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-tracker,21,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-warehouse,25,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,twoshot,35,2,1,2,0.5,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,zeroshot,17,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-tracker,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-warehouse,3,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,twoshot,2,2,2,2,1.0,1.0
gpt-5.4,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,zeroshot,4,2,2,2,1.0,1.0
